Period, Estimated Normalized Velocity
 597.55, 0.5555492023557665
 281.77, 0.48779997991766244
 597.55, 0.5127988599778329
 272.06, 0.5405285118219749
 262.34, 0.5714285714285714
 597.55, 0.5405285118219749
 383.79, 0.5714285714285714
 369.22, 0.5405285118219749
 359.50, 0.5262986837116083
 349.79, 0.5882068046979053
 330.35, 0.5405285118219749
 251.48, 0.4347787175012306
 238.05, 0.4347787175012306
 230.50, 0.41665594579527426
 597.10, 1.0
 219.49, 0.38460929459266885
 210.16, 0.42552446021109797
 200.63, 0.41665594579527426
 380.09, 0.5882068046979053
 369.60, 0.5714285714285714
 360.00, 0.6060379241516967
 331.45, 0.4999742705706787
 379.97, 0.5714285714285714
 371.66, 0.5262986837116083
 360.23, 0.6060379241516967
 350.46, 0.5882068046979053
 341.84, 0.5714285714285714
 330.35, 0.5882068046979053
 320.64, 0.5555492023557665
 310.92, 0.5714285714285714
 301.20, 0.5714285714285714
 299.00, 0.5405285118219749
 291.49, 0.5262986837116083
 281.77, 0.5127988599778329
 262.34, 0.5127988599778329
 252.62, 0.47618114095275443
 242.91, 0.4444241149025707
 233.19, 0.46510292005744375
 378.94, 0.5555492023557665
 369.22, 0.5714285714285714
 359.50, 0.48779997991766244
 349.79, 0.5262986837116083
 340.07, 0.5127988599778329
 272.06, 0.5127988599778329
 330.35, 0.4999742705706787
 320.64, 0.5555492023557665
 306.06, 0.5882068046979053
 296.35, 0.5262986837116083
 291.49, 0.48779997991766244
 281.77, 0.5262986837116083
 267.20, 0.5555492023557665
 262.34, 0.5127988599778329
 229.29, 0.48779997991766244
 338.73, 0.5714285714285714
 330.35, 0.6060379241516967
 320.64, 0.6060379241516967
 306.06, 0.5127988599778329
 272.06, 0.5405285118219749
 267.20, 0.4999742705706787
 257.48, 0.48369592273609796
 291.49, 0.42552446021109797
 600.05, 0.5882068046979053
 599.52, 0.5714285714285714
 600.54, 0.5882068046979053
