epoch,lr,tr_qrs,tr_nll,tr_mae_on,tr_mae_off,tr_coef_tau_on,tr_coef_tau_off,va_qrs,va_nll,va_mae_on,va_mae_off,ho_qrs,ho_nll,ho_mae_on,ho_mae_off,ho_coef_tau_on,ho_coef_tau_off
1001,1.93790916959704e-05,12.87485860188802,8.929714965820313,5.086010233561198,12.444344075520833,14.80860595703125,14.907020060221354,12.695325927734375,8.496624755859376,5.079791870117187,11.934736328125,24.39734291691351,10.404241335900474,7.732502869520142,26.933748796652843,6.696857181205568,13.20827856561019
1002,1.9354774196321216e-05,12.582864379882812,8.918296305338542,5.029308573404948,12.162077840169271,14.807784016927084,14.906504313151041,12.808629150390624,8.4931201171875,5.262806396484375,11.97323974609375,24.210146067831754,10.63183246630628,7.747412803613744,26.751430131812796,6.212384409249111,13.244670560574644
1003,1.9330005632034244e-05,12.617362467447917,8.911670939127605,5.092841084798177,12.229323323567709,14.801969401041667,14.90595194498698,12.70466796875,8.547173461914063,4.939668273925781,11.88727783203125,24.327231746149288,10.421282582938389,7.7433532425577605,26.85371926836493,6.987673212566647,13.000516050799764
1004,1.9304787210294357e-05,12.642596435546874,8.915651448567708,5.1196044921875,12.217230224609375,14.80665995279948,14.905405680338541,13.2227490234375,8.491119384765625,5.239833374023437,12.114759521484375,24.116928317535546,10.518449394623815,7.690349850044432,26.464665562055686,6.5294802697348935,13.290917274511257
1005,1.927912016021186e-05,12.485971069335937,8.921034749348959,5.031806437174479,12.20850321451823,14.802903238932291,14.905037434895833,13.116820068359376,8.543292846679687,5.1794189453125,12.00410400390625,24.25369566424763,10.528389736374407,7.7299255081827605,26.76155213270142,6.770374750074052,13.027747565536137
1006,1.9253005732762565e-05,12.439108276367188,8.915259806315104,5.12181396484375,11.974932861328124,14.803856404622396,14.904446411132813,13.30886474609375,8.5105908203125,5.058909912109375,12.0976416015625,24.97744881146327,10.516279898548579,7.750700024066943,27.583794616409953,6.430191980154029,13.224257627369669
1007,1.9226445200726818e-05,12.659207153320313,8.910161336263021,4.991812133789063,12.297822062174479,14.797880045572917,14.90385030110677,12.96648681640625,8.521925659179688,5.005534057617187,11.9040234375,23.97109189869668,10.514396197422986,7.685668366780213,26.4300623889218,6.676994432205272,13.112429650473933
1008,1.9199439858627484e-05,12.62308858235677,8.913604736328125,5.058951314290365,12.189005533854166,14.804367065429688,14.903249104817709,12.916058349609376,8.559523315429688,4.81835693359375,11.972286376953125,24.000175873815166,10.558033730746445,7.7334609189869665,26.585752369668246,6.537679807834715,12.809831809093602
1009,1.9171991022666833e-05,13.07213134765625,8.919808959960937,5.143418884277343,12.593294270833333,14.797885131835937,14.902766927083333,12.980771484375,8.508255004882812,5.071389770507812,11.98168212890625,24.42156027843602,10.541643911063389,7.764613147030509,27.076167246741708,6.577903422134183,13.017008849229859
1010,1.914410003066241e-05,12.57256368001302,8.914977010091146,4.986847941080729,12.103086344401042,14.8001708984375,14.90232645670573,12.93388427734375,8.544420166015625,5.0072998046875,12.0491259765625,24.12852441869076,10.724058612263033,7.656954652325237,26.631523530065166,6.3070641106338865,12.975523456013033
1011,1.9115768241981812e-05,12.485577392578126,8.915097045898438,5.192405700683594,12.035484822591146,14.798007202148437,14.901844278971355,12.52703369140625,8.469033203125,5.248732299804687,11.90675537109375,23.941221119668246,10.502060732005331,7.668219254480154,26.424179872630333,6.434312287100118,13.028810907879146
1012,1.9086997037476455e-05,12.59488525390625,8.914442952473959,5.109467569986979,12.213927205403646,14.799851481119791,14.901737467447917,12.8631201171875,8.506061401367187,4.7230596923828125,11.746112060546874,24.024328439721565,10.530608986226303,7.7153910415432465,26.57014819683057,6.635749708419728,13.066368066869076
1013,1.9057787819414252e-05,12.570501708984375,8.920463053385417,5.000429789225261,12.158462524414062,14.804884847005209,14.900832112630209,13.15578857421875,8.45824462890625,4.952101135253907,11.892666015625,24.188967157879148,10.749466593231634,7.69155493279769,26.791170671652843,5.972697325792358,12.977242853969194
1014,1.902814201141128e-05,12.58638407389323,8.900547281901042,5.034776306152343,12.098098754882812,14.799652099609375,14.90030517578125,12.9533203125,8.489422607421876,4.878150939941406,11.983265380859375,24.312037174170616,10.471358023548579,7.75012033471564,26.70748944757109,6.651281564721564,12.96259673059834
1015,1.899806105836241e-05,12.488772583007812,8.911156209309896,5.092505900065104,12.175049845377604,14.793472290039062,14.8997314453125,12.74632080078125,8.548253784179687,4.8199530029296875,11.910938720703125,24.32741919061019,10.516952153065759,7.7405294264662325,26.913592731783176,6.789986994594194,12.894154046949053
1016,1.8967546426370846e-05,12.79453125,8.91124776204427,5.117547607421875,12.307777913411458,14.79402567545573,14.899167887369792,13.200953369140626,8.541712646484376,4.970429382324219,11.935780029296875,24.492055594638625,10.670197256368484,7.67502048004295,26.914539210604264,6.203244756183353,12.956755868631516
1017,1.8936599602676703e-05,12.569862874348958,8.910959879557291,5.008128865559896,12.202477010091146,14.794242350260417,14.898656209309896,13.267506103515625,8.50634033203125,5.026625671386719,11.952637939453124,24.342574422393366,10.549170616113743,7.713146914803021,26.89121741706161,6.43118242742891,13.133947580346565
1018,1.8905222095584497e-05,12.566060384114584,8.898800659179688,5.10025380452474,12.145624796549479,14.794800821940104,14.898076375325521,13.225269775390625,8.5275390625,5.012824401855469,11.903017578125,24.404991113744074,10.709277112337086,7.750379517180095,26.805191980154028,6.328605181797986,13.047769410915285
1019,1.887341543438968e-05,12.558141072591146,8.910799153645833,5.044010925292969,12.1862060546875,14.797145589192708,14.897494506835937,12.542735595703125,8.5002099609375,4.9912652587890625,11.833702392578125,24.548492576273695,10.632840269549764,7.715378313832939,26.989822460011847,6.3574837779546804,13.107954124703792
1020,1.884118116930403e-05,12.530915323893229,8.899462890625,5.079930114746094,12.119508870442708,14.787816365559896,14.896974690755208,12.68451171875,8.531831665039062,4.926329040527344,11.9064794921875,24.74202088270142,10.458059880405806,7.653565610189573,27.21391347008294,6.838264935389514,13.090898992890995
1021,1.8808520871380153e-05,12.54112548828125,8.900679524739584,5.180315144856771,12.183843994140625,14.792681884765624,14.896551513671875,12.849674072265625,8.545064697265625,5.098232421875,11.97744140625,24.205864928909953,10.461507932834715,7.675942081975711,26.544033249407583,6.788558598378258,13.065478284212086
1022,1.8775436132434904e-05,12.547737630208333,8.911899820963542,5.08638916015625,12.107033284505208,14.791995239257812,14.895901489257813,12.751287841796875,8.577239990234375,5.170152587890625,12.0104638671875,24.32525547985782,10.52776839269846,7.654812347267477,26.80181797985782,6.984727326162618,13.059077402991706
